username,text
RT  RahulMhambre  1141 students of Delhi govt school cmng frm humble background clear JEE NEE How many from 10k students from Goa have qu ,twitter
RT  RahulMhambre  1141 students of Delhi govt school cmng frm humble background clear JEE NEE How many from 10k students from Goa have qu ,twitter
RT  RahulMhambre  1141 students of Delhi govt school cmng frm humble background clear JEE NEE How many from 10k students from Goa have qu ,twitter
RT  RahulMhambre  1141 students of Delhi govt school cmng frm humble background clear JEE NEE How many from 10k students from Goa have qu ,twitter
1141 students of Delhi govt school cmng frm humble background clear JEE NEE How many from 10k students from Goa h  ,twitter
Hands on Learning at IIT Delhi  The Modern School collaborated with the prestigious Indian Institute of Technology   ,twitter
RT  Live_Hindustan  442 seats left vacant in 23 IITs of the country  Delhi and Guwahati Full    IIT Delhi Guwahati    ,twitter
442 seats left vacant in 23 IITs in the country  Delhi and Guwahati Full    IIT Delhi Guwahati    ,twitter
442 seats left vacant in 23 IITs in the country  Delhi and Guwahati Full   IIT  Live_hindustan    ,twitter
RT  mekarora  Arvind Kejriwal opened 500 schools in Delhi similarly MamataBanerjee opened 500 IIT and Polytechnic in West Bengal  Thanks a ,twitter
 MinhazMerchant But for AIIMS Delhi Manipal for medicine  IIT  older ones  IIMs  Ashoka we stand nowhere in wo  ,twitter
Yoga and Ayurveda may be effective in the treatment of high risk cases of COVID19  according to a research by th  ,twitter
 Treatment of Korona patients with high risk effective   IIT claims Delhi s study Coronavirus IIT YOGA,twitter
RT  latestly  Ayurveda  Yoga Effective in Treatment of High Risk Cases of COVID 19 As per IIT Delhi s Research  iitdelhi  Ayurveda Yoga  ,twitter
Ayurveda  Yoga Effective in Treatment of High Risk Cases of COVID 19 As per IIT Delhi s Research  iitdelhi  ,twitter
Covid19  Joint Study of IIT Delhi and Dev Culture University has revealed that susceptible to corona virus  ,twitter
team members are actually better performing than the pedigree hires I have made before   I am not against IIT or  ,twitter
Ayurveda  yoga effective in treatment of high risk cases of COVID 19  IIT Delhi study ayurveda covid19 IIT  ,twitter
With a score of 314 marks out of 360  R K  Shishir from Bombay zone has secured the first rank in the IIT entrance  ,twitter
IIT Topper 2022  RK Shishir  Tanishka Kabra  Delhi zone Topper in females   IIT,twitter
RT  AroraBhavyam  When it says in Delhi Metro   next station is IIT  it hits hard   iit jee,twitter
Indian Institute of Technology  Bombay has declared JEE Advanced 2022 results  R K Shishir of IIT Bombay zone has t  ,twitter
ExpressEducation   What should you choose  An engineering branch or an IIT of your liking  An IIT professor answer  ,twitter
RT  ieeducation_job  ExpressEducation   Among 23 premier engineering schools  there are a few IITs that are more sought after than others ,twitter
ExpressEducation   Among 23 premier engineering schools  there are a few IITs that are more sought after than othe  ,twitter
    Iitalum iit jee jeemains2022,twitter
